source_node,destination_node,travel_time,distance,capacity,speed_limit
Parliament House,Janpath,18,4,170,60 km/h
Mohan Estate,Badarpur,18,10,160,50 km/h
Lajpat Nagar,Nehru Place,30,2,160,50 km/h
Tilak Nagar,Janakpuri,12,7,160,40 km/h
Tilak Nagar,Janakpuri,10,6,180,40 km/h
Barakhamba,Rajiv Chowk,5,10,260,40 km/h
Connaught Place,India Gate,12,5,190,50 km/h
Janakpuri,Uttam Nagar,10,8,180,50 km/h
Kirti Nagar,Rajouri Garden,5,10,220,40 km/h
Mandi House,Barakhamba,5,2,180,40 km/h
Karol Bagh,Rajendra Place,20,5,170,60 km/h
Jasola,Sarita Vihar,12,7,150,40 km/h
India Gate,Rashtrapati Bhavan,12,8,150,50 km/h
Central Secretariat,Lajpat Nagar,12,1,240,40 km/h
Uttam Nagar,Dwarka,35,7,160,60 km/h
Rajiv Chowk,Central Secretariat,25,4,220,60 km/h
Kashmere Gate,Chandni Chowk,20,8,200,40 km/h
Rashtrapati Bhavan,Parliament House,15,5,180,40 km/h
Rajouri Garden,Tagore Garden,5,10,180,50 km/h
Tagore Garden,Subhash Nagar,10,10,190,40 km/h
Ramesh Nagar,Kirti Nagar,12,6,150,50 km/h
Dwarka Mor,Najafgarh,12,1,190,50 km/h
Inderlok,Kashmere Gate,7,1,160,60 km/h
Jasola,Sarita Vihar,12,12,170,50 km/h
Mundka,Punjabi Bagh,35,5,220,60 km/h
Kalkaji Mandir,Govindpuri,30,7,180,40 km/h
Rashtrapati Bhavan,Parliament House,20,7,280,40 km/h
Ashok Park,Inderlok,25,1,280,50 km/h
Barakhamba,Rajiv Chowk,15,12,150,50 km/h
Subhash Nagar,Tilak Nagar,5,2,280,40 km/h
Lajpat Nagar,Nehru Place,5,12,220,50 km/h
Jama Masjid,Delhi Gate,25,12,200,40 km/h
Rajendra Place,Patel Nagar,7,5,240,40 km/h
Barakhamba,Rajiv Chowk,12,10,160,40 km/h
India Gate,Rashtrapati Bhavan,10,6,220,50 km/h
Faridabad,Ballabhgarh,18,7,280,50 km/h
India Gate,Rashtrapati Bhavan,5,4,170,40 km/h
Rajiv Chowk,Central Secretariat,20,12,220,50 km/h
Sarita Vihar,Mohan Estate,12,1,180,50 km/h
Punjabi Bagh,Ashok Park,25,8,160,40 km/h
Faridabad,Ballabhgarh,25,7,200,60 km/h
India Gate,Rashtrapati Bhavan,35,8,200,40 km/h
Rajendra Place,Patel Nagar,30,4,260,40 km/h
Connaught Place,India Gate,20,10,180,50 km/h
Nehru Place,Kalkaji Mandir,18,5,220,50 km/h
