source_node,destination_node,travel_time,distance,capacity,speed_limit
Kopri,Mumbra,18,3,200,50 km/h
Vasai,Nalasopara,6,6,210,60 km/h
Kalyan,Ulhasnagar,25,18,250,50 km/h
Lower Parel,Worli,35,7,230,60 km/h
Kalyan,Ulhasnagar,50,6,220,50 km/h
Lower Parel,Dadar,18,18,180,50 km/h
Ulhasnagar,Ambernath,45,1,220,50 km/h
Thane,Kopri,5,1,190,40 km/h
Kalwa,Diva,50,14,170,60 km/h
Haji Ali,Pedder Road,20,20,190,50 km/h
Dahisar,Mira Road,30,4,170,60 km/h
Byculla,Parel,50,20,160,60 km/h
Marine Drive,Haji Ali,10,12,250,60 km/h
Sanpada,Vashi,22,18,220,60 km/h
Chembur,Sion,30,16,220,40 km/h
Grant Road,Marine Drive,22,9,170,50 km/h
Sanpada,Vashi,15,7,250,40 km/h
Elphinstone,Currey Road,22,4,230,40 km/h
Nerul,Sanpada,22,1,180,50 km/h
Currey Road,Chinchpokli,18,14,210,40 km/h
Dombivli,Kalyan,15,9,200,60 km/h
Kopri,Mumbra,45,12,210,40 km/h
Ulhasnagar,Ambernath,40,20,220,40 km/h
Govandi,Chembur,8,14,210,40 km/h
King's Circle,Sion,45,12,250,60 km/h
Lower Parel,Worli,40,18,160,40 km/h
Dombivli,Kalyan,15,5,210,40 km/h
Vikhroli,Bhandup,25,1,230,40 km/h
Sion,Dadar,5,3,150,40 km/h
Chinchpokli,Sandhurst Road,35,18,250,40 km/h
Ghatkopar,Vikhroli,12,4,250,40 km/h
Matunga,King's Circle,25,4,170,60 km/h
Nerul,Sanpada,5,1,190,40 km/h
Mulund,Thane,10,9,180,40 km/h
Ulhasnagar,Ambernath,10,18,210,50 km/h
Panvel,Kharghar,45,1,160,60 km/h
Diva,Dombivli,6,10,190,50 km/h
Vashi,Mankhurd,50,8,180,40 km/h
Worli,Lower Parel,50,7,190,50 km/h
Dombivli,Kalyan,30,10,150,60 km/h
Ghatkopar,Vikhroli,25,10,150,60 km/h
Dadar,Matunga,10,8,190,40 km/h
Sion,Kurla,20,4,150,50 km/h
Marine Lines,Charni Road,40,3,230,60 km/h
Vashi,Mankhurd,50,9,250,60 km/h
Matunga,King's Circle,30,18,150,50 km/h
Marine Lines,Charni Road,15,8,210,50 km/h
Kurla,Ghatkopar,40,20,210,60 km/h
Elphinstone,Currey Road,22,8,180,60 km/h
Lower Parel,Worli,5,1,150,40 km/h
Colaba,Cuffe Parade,40,16,180,50 km/h
Vangani,Shedung,6,16,150,60 km/h
Charni Road,Grant Road,50,2,230,60 km/h
Byculla,Parel,22,12,230,40 km/h
Vasai,Nalasopara,12,8,200,40 km/h
Colaba,Cuffe Parade,15,14,210,60 km/h
Dombivli,Kalyan,10,9,200,60 km/h
Kurla,Ghatkopar,35,2,200,60 km/h
Mankhurd,Govandi,40,8,160,40 km/h
Prabhadevi,Elphinstone,50,9,230,40 km/h
Worli,Lower Parel,45,5,200,60 km/h
Prabhadevi,Elphinstone,45,1,210,60 km/h
Dombivli,Kalyan,30,10,180,50 km/h
Dockyard Road,Mazgaon,15,18,220,40 km/h
Vashi,Mankhurd,25,16,250,60 km/h
Cuffe Parade,Churchgate,40,4,180,60 km/h
Pedder Road,Worli,10,12,190,60 km/h
Dombivli,Kalyan,8,8,180,50 km/h
Grant Road,Marine Drive,50,5,210,60 km/h
Shedung,Panvel,22,2,190,40 km/h
Panvel,Kharghar,45,4,250,50 km/h
Vashi,Mankhurd,40,9,230,60 km/h
Worli,Lower Parel,35,3,250,60 km/h
Mankhurd,Govandi,20,10,220,50 km/h
Sanpada,Vashi,12,5,150,60 km/h
Kopri,Mumbra,15,1,210,50 km/h
Chembur,Sion,5,9,220,60 km/h
Lower Parel,Dadar,10,4,150,50 km/h
Grant Road,Marine Drive,12,3,170,50 km/h
Elphinstone,Currey Road,15,18,170,60 km/h
Dombivli,Kalyan,6,9,220,40 km/h
Chembur,Sion,45,16,160,40 km/h
Belapur,Nerul,8,8,150,40 km/h
Dockyard Road,Mazgaon,40,9,150,50 km/h
Churchgate,CST,50,20,180,40 km/h
Byculla,Parel,12,8,210,60 km/h
Panvel,Kharghar,8,5,220,40 km/h
Bhandup,Mulund,50,9,250,50 km/h
Colaba,Cuffe Parade,30,4,250,60 km/h
Elphinstone,Currey Road,40,3,230,50 km/h
Nerul,Sanpada,35,7,220,40 km/h
Pedder Road,Worli,40,18,150,40 km/h
Sandhurst Road,Dockyard Road,30,4,200,50 km/h
Vashi,Mankhurd,15,8,150,50 km/h
Kharghar,Belapur,8,18,210,50 km/h
Prabhadevi,Elphinstone,22,12,220,50 km/h
Vangani,Shedung,15,16,180,40 km/h
Prabhadevi,Elphinstone,15,5,160,60 km/h
Elphinstone,Currey Road,18,18,210,50 km/h
Sion,Dadar,20,16,230,50 km/h
Nalasopara,Virar,12,7,150,40 km/h
Parel,Lower Parel,25,5,250,40 km/h
King's Circle,Sion,50,10,180,50 km/h
Worli,Lower Parel,18,16,150,50 km/h
Haji Ali,Pedder Road,20,18,250,40 km/h
Govandi,Chembur,8,18,250,50 km/h
Mulund,Thane,45,10,230,60 km/h
Sanpada,Vashi,10,3,210,40 km/h
Belapur,Nerul,6,10,210,50 km/h
Pedder Road,Worli,25,20,190,50 km/h
Sandhurst Road,Dockyard Road,30,9,190,40 km/h
Kurla,Ghatkopar,45,6,150,50 km/h
King's Circle,Sion,35,2,190,50 km/h
Sanpada,Vashi,5,3,160,40 km/h
Vashi,Mankhurd,5,5,210,40 km/h
Haji Ali,Pedder Road,5,3,160,50 km/h
